Вакансия,URL,Компания,Описание
Программист 1С,https://hh.ru/vacancy/32077459?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ВРТЭК Продакшен,"участие в доработке существующих модулей программного продукта (ERP, Бухгалтерия). - консультирование пользователей по вопросам работы с программными продуктами 1С. -  умение читать и писать код, выявлять и исправлять ошибки в конфигурации. - опыт работы в должности программиста 1С или специалиста..."
Программист 1С,https://hh.ru/vacancy/32350512?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ОДО БизнесПрограммы,Участие в проектах автоматизации учета и управления предприятий РБ на платформе 1С:Предприятие 8. Навыки программирования. Высшее образование. Опыт работы с конфигурациями Бухгалтерия для Беларуси и/или ЗУП для Беларуси и/или УТ для...
Инженер-программист 1С,https://hh.ru/vacancy/32030528?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ЗАО Инволюкс,"Разработка кода программного продукта на уровне модулей в системе 1С Предприятие 8.2 Управление производственным предприятием. Отладка и тестирование... Высшее образование. Опыт работы от 1 года. Желателен опыт работы с УПП, Бухгалтерия для РБ (2.1), ЗУП. "
Junior PHP-программист,https://hh.ru/vacancy/31915687?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Атеви Системс,"Написание и кастомизация компонентов и модулей для CMS 1C-Битрикс. Интеграция HTML шаблонов в CMS 1C-Битрик. Базовые знания PHP обязательны! Базовые навыки HTML, CSS, Javascript. Наличие опыта работы с 1С-Битрикс НЕ обязательно - всему обучим..."
"Web-разработчик Битрикс, PHP-программист",https://hh.ru/vacancy/32362909?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Студия Галиор,"Интеграция готовой верстки в CMS. Настройка всех требуемых компонентов. Написание дополнительного функционала любой сложности. Тестирование и отладка всего проекта. Уверенные знания и опыт в PHP, MySQL, Ajax, XML. Знание и опыт Front-end разработки: HTML, CSS, JS. "
Инженер-программист/Разработчик QlikView,https://hh.ru/vacancy/32327254?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, СП Санта Импэкс Брест ООО,"Сбор, анализ и формализация требований пользователей на построение системы отчетности. Разработка модели данных. Разработка ETL-процессов загрузки и преобразования данных... Высшее образование. Знание программ 1С 7.7, 8.2; MS SQL Server. Опыт разработки QlikView или разработки в среде..."
PHP/Python-программист (Разработчик),https://hh.ru/vacancy/32129936?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ИП Гречанюк В.С,"Создание и поддержка веб-сайтов. Знание PHP, MySQL, HTML/CSS, JavaScript, jQuery. Понимание ООП. Понимание работы CMS. Желательно знание Python, WordPress, OpenCart, Bitrix24."
Senior Back-End Developer,https://hh.ru/vacancy/28392992?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Тектус Медиа,"Проектирование и работа с БД (MySQL и др.). Системы контроля версий (Git). Для работы над собственным web проектом в сфере авиаиндустрии ищем Back-End разработчика, способного работать в команде, расти и развиваться..."
Инженер-программист,https://hh.ru/vacancy/32236229?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ВРТЭК Продакшен,"Разработка программного обеспечения для микроконтроллеров семейства STM8/STM32. Знания ООП, паттернов проектирования. Опыт разработки программного обеспечения для микроконтроллеров ARM, AVR. Понимание работы интерфейсов I2C, SPI, CAN..."
Middle Frontend Developer,https://hh.ru/vacancy/27515548?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Тектус Медиа," Требования и опыт: - опыт работы с JavScript, Angular 5+. - отличное знание и понимание ООП. - знание HTML5, CSS3. - "
